key,document,form,claim,expected,config_path,config_value,agrees,note,found,quotation,pattern
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,UVXY daily objective 2x as at Feb 2018,2.0,products.UVXY.leverage,2.0,yes,,True,"Futures Index (the ""Index""). The Matching Fund seeks results (before fees and expenses) that, both for a single day and over time, match the performance of the Index. The Ultra Fund seeks results (before fees and expenses) that correspond to two times (2x) the performance of the Index for a single day. The Inverse Fund seeks results (before fees and expenses) that correspond to the inverse (-1x) of the performance of the Index for a single day. Each Geared Fund is ""geared"" in the sense that it has an","Ultra\s+Fund\s+seeks\s+results[^.]{0,140}?two\s+times\s*\(\s*2x\s*\)"
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,ProShares VIX funds benchmark index,S&P 500 VIX Short-Term Futures Index,,,n/a,,True,Investing in VIX Futures Contracts 13 Additional Risks Applicable to the Funds 16 CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS 27 DESCRIPTION OF THE FUNDS' INDEX 27 The S&P 500 VIX Short-Term Futures Index 27 Composition and Calculation of the S&P 500 VIX Short-Term Futures Index 29 Information about the Index Licensor 30 INVESTMENT OBJECTIVES AND PRINCIPAL INVESTMENT STRATEGIES 31 Investment Objectives 31 Principal Investment Strategies 32 PERFORMANCE OF THE,S&P\s*500\s*VIX\s*Short-?Term\s*Futures?\s*Index
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,ProShares management fee 0.95%,0.0095,products.SVXY.fee,0.0095,yes,,True,"each applicable Fund. -42- Table of Contents Management Fee The Geared Funds pay the Sponsor a management fee (the ""Management Fee""), monthly in arrears, in an amount equal to 0.95% per annum of its average daily net assets and the Matching Fund pays the Sponsor a Management Fee, monthly in arrears, in an amount equal to 0.85% per annum of its average daily net assets. ""Average daily net assets"" is calculated by dividing the month-end",0\.95%
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,ProShares NAV calculation time 4:15 p.m. ET,4:15 p.m. ET,,,n/a,,True,"a single day, not for any other period. A ""single day"" is measured from the time a Fund calculates its net asset value (""NAV"") to the time of the Fund's next NAV calculation. The NAV calculation time for the Funds is typically 4:15 p.m. (Eastern Time); please see the section entitled ""Summary-Creation and Redemption Transactions"" on page 3 for additional details on the NAV calculation time for the Funds. The Funds seek to achieve their respective investment objectives through the",NAV\s+calculation\s+time\s+for\s+the\s+Funds\s+is\s+typically\s+4:15
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,"SVXY 2-for-1 split, July 2017",2-for-1 on 2017-07-17,,,n/a,,True,"Futures ETF (""SVXY""). The forward stock split decreased the price per Share of the Fund with a proportionate increase in the number of Shares outstanding. For example, for a 2-for-1 split, every pre-split Share resulted in the receipt of two post-split Shares, which was priced at one-half the net asset value (""NAV"") of a pre-split Share. The split became effective for shareholders of record after the close of the markets on July 12, 2017. SVXY commenced trading at the post-split price on July 17, 2017. The ticker symbol for SVXY did not change. Ticker Fund Split Ratio SVXY ProShares Short VIX Short-Term Futures ETF 2:1 On June 27, 2017, the Trust announced a 1-for-4 reverse split of the Shares of beneficial interest of ProShares VIX Short-Term Futures ETF","2-for-1\s+split[\s\S]{0,400}?SVXY\s+commenced\s+trading\s+at\s+the\s+post-split\s+price\s+on\s+July\s+17,\s+2017"
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,"VIXY and UVXY 1-for-4 reverse split, 2017",1-for-4 reverse split announced 2017-06-27,,,n/a,,True,"on July 17, 2017. The ticker symbol for SVXY did not change. Ticker Fund Split Ratio SVXY ProShares Short VIX Short-Term Futures ETF 2:1 On June 27, 2017, the Trust announced a 1-for-4 reverse split of the Shares of beneficial interest of ProShares VIX Short-Term Futures ETF (""VIXY"") and ProShares Ultra VIX Short-Term Futures ETF (""UVXY""). The reverse stock splits will increase the price per Share of each VIXY and UVXY with a proportionate decrease in the number of Shares outstanding for each of VIXY and UVXY. For example, for a","1-for-4\s+reverse\s+split[\s\S]{0,200}?ProShares\s+VIX\s+Short-?Term\s+Futures\s+ETF"
proshares_trust_ii_10k_2017,ProSharesTrustII_10K_FY2017.htm,10-K,effective date of the exposure change,close of business 2018-02-27,products.SVXY.leverage_change_date,2018-02-28,n/a,"The filing dates the change to the close of 27 Feb 2018; the configuration stores 2018-02-28 because that is the first daily RETURN computed under the new objective (27 Feb close -> 28 Feb close). Confirmed in the data: implied leverage on 27 Feb is -1.21 (SVXY) and +2.48 (UVXY), on 28 Feb -0.24 and +1.13.",True,"Periods of backwardation are typically thought to be caused by demand shocks or supply shortages such as an unusually cold winter or a hurricane. NOTE 9 - SUBSEQUENT EVENTS Effective as of close of business on February 27, 2018, the investment objective of ProShares Ultra VIX Short-Term Futures ETF and ProShares Short VIX Short-Term Futures ETF changed. ProShares Ultra VIX Short-Term Futures ETF (NYSE Arca: UVXY) changed its investment objective to seek results (before fees and expenses) that correspond to","Effective\s+as\s+of\s+close\s+of\s+business\s+on\s+February\s+27,\s+2018,\s+the\s+investment\s+objective"
proshares_trust_ii_10k_2017,ProSharesTrustII_10K_FY2017.htm,10-K,UVXY new objective 1.5x,1.5,products.UVXY.leverage_after,1.5,yes,,True,"investment objective of ProShares Ultra VIX Short-Term Futures ETF and ProShares Short VIX Short-Term Futures ETF changed. ProShares Ultra VIX Short-Term Futures ETF (NYSE Arca: UVXY) changed its investment objective to seek results (before fees and expenses) that correspond to one and one-half times (1.5x) the performance of the S&P 500 VIX Short-Term Futures Index (""Index"") for a single day. Previously, the Fund's investment objective was to seek results (before fees and expenses) that correspond to two times (2x) the performance of the Index for a single","UVXY\s*\)?\s*changed\s+its\s+investment\s+objective[^.]{0,200}?one\s+and\s+one-half\s+times\s*\(\s*1\.5x\s*\)"
proshares_trust_ii_10k_2017,ProSharesTrustII_10K_FY2017.htm,10-K,the -0.5x inverse class exists,-0.5,products.SVXY.leverage_after,-0.5,yes,,True,"for the Geared Funds. As further described below, each ""Short"" Fund seeks daily investment results (before fees and expenses) that correspond to either the inverse (-1x) or the one-half inverse (-0.5x) of the daily performance of its corresponding benchmark. Each ""UltraShort"" Fund seeks daily investment results (before fees and expenses) that correspond to two times the inverse (-2x) of the daily performance of its corresponding benchmark. Each ""Ultra""",one-half\s+inverse\s*\(\s*-0\.5x\s*\)
proshares_trust_ii_10k_2017,ProSharesTrustII_10K_FY2017.htm,10-K,SVXY net assets disclosed,net assets by fund,,,n/a,,True,"Value of the Fund's Units Held by Non-Affiliates as of June 30, 2017 Number of Outstanding Units as of February 26, 2018 ProShares Short Euro $ 10,427,500 200,000 ProShares Short VIX Short-Term Futures ETF 798,336,000 58,100,000 ProShares Ultra Bloomberg Crude Oil 962,353,171 16,611,317 ProShares Ultra Bloomberg Natural Gas 43,753,726 8,192,169 ProShares Ultra Euro 12,936,000 550,000 ProShares Ultra Gold 88,548,000 2,200,000 ProShares Ultra Silver 250,150,509 7,096,526","Short\s+VIX\s+Short-?Term\s+Futures\s+ETF[^.]{0,300}?\$?[\d,]{7,}"
ipath_vxx_series_b_2018_launch,Barclays_iPath_SeriesB_launch_2018.htm,424B2,VXX investor fee rate 0.89% per annum,0.0089,products.VXX.fee,0.0089,yes,,True,"by (4) 365. Because the investor fee is calculated and subtracted from the closing indicative value on a daily basis, the net effect of the fee accumulates over time and is subtracted at the rate of 0.89% per year, which we refer to as the "" investor fee rate "". Because the net effect of the investor fee is a fixed percentage of the value of each ETN, the aggregate effect of the investor fee will increase or decrease in a manner directly proportional to the value of",subtracted\s+at\s+the\s+rate\s+of\s+0\.89%\s+per\s+year
ipath_vxx_series_b_2018_launch,Barclays_iPath_SeriesB_launch_2018.htm,424B2,VXX tracks the TOTAL RETURN index,S&P 500 VIX Short-Term Futures Index TR,,,n/a,,True,"series of iPath ® Exchange Traded Notes (the "" ETNs "") that Barclays Bank PLC may issue from time to time. The return of one series of ETNs is linked to the performance of the S&P 500 ® VIX Short-Term Futures Index TR and the return of the other series of ETNs is linked to the performance of the S&P 500 ® VIX Mid-Term Futures Index TR (each, an "" Index "" and collectively, the "" Indices ""). The Indices are designed to provide investors with exposure to one or more",S&P\s*500\s*(?:®)?\s*VIX\s*Short-?Term\s*Futures\s*(?:TM)?\s*Index\s*TR
ipath_vxx_series_b_2018_launch,Barclays_iPath_SeriesB_launch_2018.htm,424B2,"Series B pricing supplement, January 2018",January 2018 relaunch,,,n/a,,True,"424B2 1 a18-2032_4424b2.htm IPATH PROSPECTUS - VXXB/VXZB ETN (PRELIM) Table of Contents Preliminary Pricing Supplement Dated January 3, 2018 The information in this preliminary pricing supplement is not complete and may be changed. This preliminary pricing supplement and the accompanying prospectus and prospectus supplement do not constitute an offer to sell these ETNs, and we are not soliciting","Preliminary\s+Pricing\s+Supplement\s+Dated\s+January\s+3,\s+2018"
ipath_vxx_series_b_424b2,Barclays_iPath_VXX_SeriesB_424B2.htm,424B2,VXX issuance suspended March 2022,issuance suspended 2022-03-14,,,n/a,,True,"Terms used but not defined herein have the meanings given to them in the Pricing Supplement. No Further Sales or Issuances: Effective as of the open of trading on March 14, 2022, we will suspend, until further notice, any further sales from inventory and any further issuances of the ETNs. As a result of this modification, the Pricing Supplement is amended to reflect this suspension. Risk Factors : As described in the Pricing Supplement, under the heading ""Risk Factors ― The Market Value of","we\s+will\s+suspend,\s+until\s+further\s+notice,\s+any\s+further\s+sales"
vs_trust_svix_424b3,VSTrust_SVIX_424B3_2022-01-28.htm,424B3,SVIX daily objective -1x,-1.0,products.SVIX.leverage,-1.0,yes,,True,"1933 Registration No. 333 -248430 VS TRUST Common Units of Beneficial Interest Title of Securities to be Registered (Ticker) Benchmark Proposed Maximum Aggregate Offering Price -1x Short VIX Futures ETF (SVIX) Short VIX Futures Index $ Not applicable 2x Long VIX Futures ETF (UVIX) Long VIX Futures Index $ Not applicable VS Trust (the ""Trust"") is a Delaware statutory trust. The -1x Short VIX Futures ETF (""SVIX"") and the 2x Long VIX Futures ETF (""UVIX"") (SVIX and UVIX, each a ""Fund"" and","-\s*1\s*x[^.]{0,300}?(?:Short\s+VIX\s+Futures\s+Index|daily\s+performance)"
vs_trust_svix_424b3,VSTrust_SVIX_424B3_2022-01-28.htm,424B3,SVIX management fee,0.0135,products.SVIX.fee,0.0135,yes,,True,"includes Fund organization and operating expenses that the Fund will accrue on an amortized, straight -line basis over the Fund's first 12 months of operations. Management Fee SVIX pays the Sponsor a management fee (the ""Management Fee""), monthly in arrears, in an amount equal to 1.35 % per annum of its average daily net assets. UVIX pays the Sponsor a Management Fee, monthly in arrears, in an amount equal to 1.65 % per annum of its average daily net assets. ""Average daily net assets"" is calculated by dividing the month -end net assets of each Fund","SVIX\s+pays\s+the\s+Sponsor\s+a\s+management\s+fee[^.]{0,220}?1\.35\s*%\s*per\s+annum"
vs_trust_svix_424b3,VSTrust_SVIX_424B3_2022-01-28.htm,424B3,"SVIX benchmark is its own index, priced 3:45-4:00 p.m.","3:45-4:00 p.m. average, not the settlement",,,n/a,,True,"of first and second month VIX futures contracts. This theoretical portfolio is rolled each day to maintain a consistent time to maturity of the futures contracts. The Index is calculated daily at 4:00 p.m. (Eastern time) from the average price of the VIX futures contracts between 3.45 p.m. and 4:00 p.m. (Eastern time). The Short Index has an inception date of November 22, 2019. The Short Index settled on March 16, 2020 41.64% below its settlement on the previous business day (its most significant single day decline from its inception",calculated\s+daily\s+at\s+4:00\s+p\.m\.\s*\(Eastern\s+time\)\s+from\s+the\s+average\s+price\s+of\s+the\s+VIX\s+futures\s+contracts\s+between\s+3[.:]45
vs_trust_svix_424b3,VSTrust_SVIX_424B3_2022-01-28.htm,424B3,"SVIX has no acceleration clause (ETF, not ETN)","fund structure, not a note",,,n/a,,True,"a Delaware statutory trust. The -1x Short VIX Futures ETF (""SVIX"") and the 2x Long VIX Futures ETF (""UVIX"") (SVIX and UVIX, each a ""Fund"" and together, the ""Funds"") are separate series of VS Trust. The Trust may from time to time offer to sell common units of beneficial interest (""Shares"") of the Funds. Shares represent units of fractional undivided beneficial interest in and ownership of a Fund. Fund Shares will be offered on a continuous basis. The",commodity\s+pool|series\s+of\s+(?:the\s+)?(?:VS\s+)?Trust
